Model,MACs,Parameters,TotalEnergyPerEpoch,AverageEnergyPerSec,TotalTime,AverageTimeperEpoch,Total Time to Device,Average Time to Device,Total Forward Time,Average Forward Time,Total Backward Time,Average Backward Time,Total Test Time,Average Test Time
Alexnet,665530000.0,57030000.0,2627.0,184.48,277.36,13.87,41.25,2.06,41.13,2.06,71.34,3.57,48.18,2.41
VGG11,7580000000.0,128810000.0,27264.35,324.59,1667.45,83.37,47.6,2.38,477.64,23.88,939.96,47.0,110.53,5.53
VGG13,11300000000.0,128990000.00000001,43858.97,350.6,2494.23,124.71,47.43,2.37,732.13,36.61,1468.48,73.42,152.73,7.64
VGG16,15460000000.0,134300000.0,54043.96,360.06,2987.17,149.36,47.13,2.36,890.96,44.55,1778.02,88.9,179.09,8.95
ResNet18,1750000000.0,11180000.0,10202.03,256.7,786.2,39.31,46.92,2.35,188.77,9.44,394.64,19.73,61.88,3.09
ResNet34,3600000000.0,21290000.0,17610.77,292.56,1199.54,59.98,48.64,2.43,308.04,15.4,670.02,33.5,76.78,3.84
ResNet50,2320000000.0,13870000.0,14077.76,256.9,1087.51,54.38,47.15,2.36,285.08,14.25,595.25,29.76,71.5,3.57
GoogleNet,1520000000.0,5980000.0,11261.41,269.49,828.63,41.43,52.71,2.64,197.74,9.89,406.06,20.3,66.32,3.32
GoogleNet_mod0,406930000.0,120070.0,3939.6,198.72,389.09,19.45,53.94,2.7,71.54,3.58,124.57,6.23,55.31,2.77
GoogleNet_mod1,1090000000.0,3420000.0,6870.3,237.8,569.88,28.49,59.67,2.98,125.87,6.29,232.45,11.62,59.26,2.96
GoogleNet_mod2,1870000000.0,7280000.0,10452.89,267.77,774.12,38.71,64.65,3.23,181.73,9.09,367.34,18.37,63.09,3.15
GoogleNet_mod3,2740000000.0,11710000.0,14497.42,289.67,993.21,49.66,58.48,2.92,240.75,12.04,524.69,26.23,72.91,3.65
GoogleNet_mod4,3710000000.0,16700000.0,19205.71,297.54,1284.65,64.23,71.08,3.55,308.98,15.45,709.19,35.46,86.99,4.35
GoogleNet_mod5,455030000.0,426780.0,4667.51,221.81,412.43,20.62,48.54,2.43,87.5,4.37,144.99,7.25,52.65,2.63
GoogleNet_mod6,578900000.0,1320000.0,5741.72,239.75,469.65,23.48,48.03,2.4,105.8,5.29,182.42,9.12,51.62,2.58
GoogleNet_mod7,778240000.0,2790000.0,7291.01,260.39,549.1,27.46,48.52,2.43,126.08,6.3,238.34,11.92,52.26,2.61
GoogleNet_mod8,1050000000.0,4840000.0,9153.57,278.24,645.68,32.28,48.3,2.42,150.13,7.51,309.01,15.45,53.64,2.68
GoogleNet_mod9,544400000.0,738300.0,4667.78,208.57,438.9,21.95,47.8,2.39,92.16,4.61,160.63,8.03,51.33,2.57
GoogleNet_mod10,688040000.0,1400000.0,5562.06,222.48,491.09,24.55,46.95,2.35,107.24,5.36,201.9,10.1,49.97,2.5
GoogleNet_mod11,837560000.0,2100000.0,6546.48,233.81,551.85,27.59,45.21,2.26,123.27,6.16,244.83,12.24,53.48,2.67
GoogleNet_mod12,992940000.0,2830000.0,7749.38,239.94,635.31,31.77,51.98,2.6,142.02,7.1,296.01,14.8,54.57,2.73
